TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
SMAD4,17,1580,0.09941520467836257,0.07587763530711233,0.023537569371250233,0.15553387609096897,-0.5313691407689676,0.9888204334778702,JUN;ERRFI1;HS6ST2;PTPRF;TRPC6;MITF;ERBB2IP;BAMBI;OLFM1;PLXNC1;PDCD1LG2;MXD4;MFSD6;DLK1;TSC22D1;PTPN12;PBX3
CACYBP,17,1656,0.09941520467836257,0.07952744561302406,0.019887759065338503,0.2036579379945525,-0.6139055398719383,0.9769161530851704,PLD4;BCL2L11;MYADM;NKG7;CDH1;LILRB3;ERBB2IP;SOCS2;MPEG1;PRNP;TMEM51;PDCD1LG2;MFSD6;HBEGF;NIPBL;MYL10;TPM4
SP3,12,1129,0.07017543859649122,0.05421889257071508,0.015956546025776147,0.22062940977923626,-0.5323704991844808,0.8045560241782221,P2RX5;AHRR;OLFM1;ITGB5;DLK1;CSF2RB;CABLES1;CFP;MITF;ERBB2IP;SOCS3;CTSH
ARNT,2,139,0.011695906432748537,0.006675310954233299,0.005020595478515238,0.3190659809831403,-0.6516803571216072,0.7444518527471674,MYL10;DUSP3
POU2F1,15,1735,0.08771929824561403,0.08332132737837968,0.004397970867234355,0.45767779231088745,-0.8909591149153124,0.6963646033755873,CSF2RB2;RGS2;CD28;CSGALNACT1;CSF2RB;CLEC4A2;ZRANB1;CRISP3;CLEC4N;HIST1H1C;RAB4A;PMAIP1;INSL6;DLK1;NOV
NR3C1,15,1775,0.08771929824561403,0.0852422801709648,0.0024770180746492287,0.49370499926829925,-0.8620687807200915,0.6084628933970148,USP18;GABBR1;PLD3;CD33;CCR1;CRISP3;CRISP1;FPR2;KLF6;H2-EB1;INSL6;PDCD1LG2;CLNK;TSPAN6;ANXA1
AHR,5,454,0.029239766081871343,0.02180281419584114,0.007436951886030205,0.3194527710375168,-0.5136271837598738,0.5861235228104019,PROCR;DDIT4;AHRR;ZFP36L1;TPM4
HIF1A,11,1124,0.06432748538011696,0.053978773471641935,0.010348711908475021,0.3203713712988939,-0.5009224394328694,0.5701871996010823,RGS1;WDFY2;OLFM1;SEPP1;IL10RA;TGM2;HS6ST2;IL1R2;NOV;CTSS;BTG2
PDX1,8,907,0.04678362573099415,0.04355760457186764,0.003226021159126506,0.470170148072395,-0.5146395493643995,0.3883782078921038,MMP13;MMP12;SEPP1;CXCL2;CLEC4A2;CABLES1;CLEC4N;MITF
POU2F2,15,1754,0.08771929824561403,0.0842337799548576,0.003485518290756426,0.474827564996434,-0.4023863399311398,0.29969877924694704,CSF2RB2;CD28;CSGALNACT1;CSF2RB;ZRANB1;CRISP3;CLEC4N;HIST1H1C;RAB4A;PMAIP1;ITGB5;INSL6;RANGRF;NOV;METRNL
AP1,2,183,0.011695906432748537,0.008788359026076935,0.0029075474066716026,0.44589985806774884,-0.3366870899818096,0.2719289932829334,ZFP36;ZRANB1
SRF,13,1782,0.07602339181286549,0.08557844690966719,-0.009555055096801698,0.7112126618268654,-0.6559715725376385,0.22354447958744053,PLD4;CD28;PLEK;PROCR;MYADM;CABLES1;CRISP1;CLEC7A;4632428N05RIK;EGR1;C3AR1;PDCD1LG2;OSBPL9
PRRX2,18,2205,0.10526315789473684,0.10589252269125486,-6.293647965180255E-4,0.5475349426438725,-0.32853445448999447,0.19788582850133993,RGS1;NFKBIZ;MMP12;ST8SIA4;PLD4;CD68;ZFP36L1;CABLES1;CLEC4N;FCER1G;TRPC6;MITF;SOCS2;HOXA7;SORL1;HBEGF;DLK1;BTG1
REL,16,1752,0.0935672514619883,0.08413773231522835,0.009429519146759949,0.36767827041393686,-0.16790657244227403,0.16799841538723548,NFKBIZ;DUSP1;TGFBI;IFITM6;FOS;LILRB3;4632428N05RIK;TIAM1;CLEC10A;SORL1;FADS3;PDE4B;TSC22D1;NOV;BTG2;CTSB
ETV4,14,1773,0.08187134502923976,0.08514623253133555,-0.0032748875020957857,0.6007568100579251,-0.31811482607047936,0.16210020313847984,IL1R2;HLF;NKG7;ZRANB1;CISH;SOCS2;WLS;SEPP1;EVI2A;NIPBL;TNFSF11;OSBPL9;CALCRL;MGST1
STAT5B,15,1729,0.08771929824561403,0.08303318445949191,0.0046861137861221175,0.45225333837594095,-0.1634044983134836,0.1296635565821937,IL10RA;BAZ2B;FOS;TIPARP;MYADM;NKG7;CLEC4N;CISH;SOCS2;SOCS3;EGR1;IER3;KLF6;ANXA1;DNASE1L1
NOBOX,2,201,0.011695906432748537,0.009652787782740238,0.002043118650008299,0.4940096756808306,-0.10658181860647323,0.07516151719572885,CD68;ST8SIA4
CBEPB,25,3275,0.14619883040935672,0.15727800989290688,-0.011079179483550167,0.6857097061885682,-0.06503962729205424,0.02453951053985889,EMR1;PTGS1;HLF;MYADM;HIST1H1C;ID2;FAM102A;RGS1;NFKBIZ;CCL3;CD28;PLEK;CCNB1IP1;CFP;MITF;HOXA5;FPR2;CYSLTR1;PMAIP1;H2-EB1;TNFSF11;ANXA1;S100A11;CALCRL;CTSB
