Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAP2K2,2,15,0.009950248756218905,0.0033090668431502318,0.006641181913068674,0.1609951496704853,15.937744155802978,-29.10839375803254,MAPK1;MAPK3
MAST2,1,11,0.004975124378109453,0.0024266490183101697,0.002548475359799283,0.40622670493666774,32.33076817208711,-29.124974924046025,RPS27A
MAPKAPK3,1,9,0.004975124378109453,0.001985440105890139,0.0029896842722193138,0.3522739702993191,28.392410656472375,-29.623110400147826,MAPK14
STK39,1,9,0.004975124378109453,0.001985440105890139,0.0029896842722193138,0.3522739702993191,28.4263838990661,-29.6585562496807,MAPK14
MKNK2,4,9,0.01990049751243781,0.001985440105890139,0.017915057406547672,0.0016669790942990463,4.862356344931154,-31.103240101850957,MAPK1;MAPK14;ESR1;ESR2
DMPK,3,15,0.014925373134328358,0.0033090668431502318,0.011616306291178127,0.038428769336075516,9.579121208151856,-31.217866509324676,SRF;SP1;RAC1
IRAK4,1,10,0.004975124378109453,0.0022060445621001545,0.002769079816009298,0.3798338627589891,32.79297391200561,-31.74429806121178,NCF1
AKT3,1,9,0.004975124378109453,0.001985440105890139,0.0029896842722193138,0.3522739702993191,30.583801636607117,-31.909489592103522,PRKCZ
CSNK1G3,2,11,0.009950248756218905,0.0024266490183101697,0.007523599737908736,0.10292700403327171,14.30431665200693,-32.524228865860664,TP53;CTNNB1
PIM2,1,9,0.004975124378109453,0.001985440105890139,0.0029896842722193138,0.3522739702993191,31.820339070627675,-33.199626078402765,MYC
ERN1,3,12,0.014925373134328358,0.0026472534745201853,0.012278119659808172,0.023516846926601075,8.912541897738109,-33.42237279113798,HSP90AA1;COPS5;HSPA5
PHKG1,1,8,0.004975124378109453,0.0017648356496801235,0.0032102887284293294,0.32349569179547466,29.773177936516312,-33.601100019442086,CALM1
CSNK1A1L,2,12,0.009950248756218905,0.0026472534745201853,0.0073029952816987195,0.11684671070401706,15.655353000428962,-33.610357876904324,TP53;CTNNB1
EPHA3,2,11,0.009950248756218905,0.0024266490183101697,0.007523599737908736,0.10292700403327171,15.630178362744719,-35.538887361865584,TP53;STAT3
MAP4K5,2,8,0.009950248756218905,0.0017648356496801235,0.008185413106538782,0.0644911852344945,12.96856229523507,-35.549769581605226,GSK3B;ABL1
BMX,3,14,0.014925373134328358,0.003088462386940216,0.011836910747388142,0.033030205881646874,10.453209025410617,-35.64892167180291,TP53;STAT1;STAT3
