Term	P-value	Genes
HMDB09809	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09806	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09807	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09804	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09805	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09803	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09802	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09801	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09800	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09815	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
