Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
CDK1,54,567,0.26732673267326734,0.12508272667107875,0.1422440060021886,9.13023893853474E-8,-1.7089717694371305,27.700875302479538,CCNA1;CCNA2;PPP1CA;MAPK8;MAP2K1;MYC;AR;TP53;TP73;CSNK2A1;DDX3X;JUND;CDKN1A;NRF1;SMARCC1;SMARCC2;ABL1;E2F1;E2F3;CDK1;ESR1;CDK7;PBK;RB1;NCL;STUB1;CEBPA;CEBPB;BCR;RFC1;CHEK1;CHEK2;TP53BP1;NCOR2;TOP2A;MED1;SQSTM1;BCL2;SNRNP70;MAPK10;MYOD1;TOP1;SRC;NPM1;SREBF1;BRCA2;SNW1;KAT5;BRCA1;DNMT1;LEF1;MDM4;ZBTB7A;SIRT1
ABL1,25,151,0.12376237623762376,0.03331127288771233,0.09045110334991144,6.856509189062941E-8,-1.6791196806461215,27.697888965463935,MYOD1;XRCC6;CTNNB1;TOP1;BCR;EP300;JUN;GRB2;SRC;TP53BP1;RYBP;ATR;DDX5;BRCA1;ABL1;TP53;ESR1;RB1;RAD51;MDM2;MDM4;CEBPB;CREB1;TP73;YWHAQ
CHEK1,14,35,0.06930693069306931,0.00772115596735054,0.06158577472571877,7.624665919002233E-9,-1.4564260507365232,27.223337079584542,E2F1;E2F3;XRCC6;CHEK1;CUL1;HSP90AA1;RELA;TP53;SMAD4;RB1;TP73;RAD51;UBB;MDM4
HIPK2,15,43,0.07425742574257425,0.009485991617030664,0.06477143412554359,9.882944607599914E-9,-1.4167236228339264,26.113694896220196,PML;DAXX;SUMO1;CUL1;CTBP1;KAT2B;CREB1;CREBBP;TP53;SMAD2;UBE2I;SMAD1;TP73;EP300;MDM2
CDK2,56,606,0.27722772277227725,0.13368630046326935,0.1435414223090079,1.274257474869255E-7,-1.6157323949281925,25.65093450925944,XRCC6;RPL11;CCNA1;CCNA2;SKP2;PPP1CA;JUN;DAXX;MYC;TP53;TP73;CSNK2A1;MTA2;RBL1;EP300;ATF2;DDX3X;CDKN1A;SMARCC1;GTF2F1;E2F1;ESR1;CDK7;RB1;NCL;CDK2;NFYA;CHD3;CEBPA;CEBPB;SIN3A;BCR;IGF2BP1;CHEK1;TP53BP1;CREBBP;SMAD4;SMAD3;SMAD2;NCOR1;CCNH;GTF2I;MED1;SQSTM1;BCL2;SNRNP70;MAPK12;MYOD1;ELK1;SRC;NPM1;BRCA2;SNW1;BRCA1;FOS;MDM2
CDK7,13,31,0.06435643564356436,0.006838738142510479,0.05751769750105388,1.7051914470942833E-8,-1.200695239825431,21.47683978169079,E2F1;ERCC3;CDK1;AR;CCNH;ESR1;TP53;CDK7;SMAD1;CDK2;BRCA1;GTF2H1;MNAT1
CHUK,18,90,0.0891089108910891,0.01985440105890139,0.06925450983218771,4.812682470970543E-7,-1.3099023855171914,19.054941774818545,NFKB1;FOXO3;NFKB2;CTNNB1;MYC;CUL1;HSP90AA1;RELA;RELB;ESR1;TP53;TUBA4A;PIAS1;CHEK1;SRC;CREBBP;NCOR1;NCOR2
MAPKAPK5,10,20,0.04950495049504951,0.004412089124200309,0.0450928613708492,2.2772577132957044E-7,-0.6133354412211381,9.381041436454426,TP53;MAPK11;ATF2;MAPK1;MAPK12;MAPK13;MAPK14;JUN;MAPK9;HSPB1
CDK4,12,51,0.0594059405940594,0.011250827266710787,0.04815511332734862,1.025817265598522E-5,-0.7777417496579503,8.93425844756557,MYOD1;CDKN2A;MYC;RBL1;RB1;NCOA2;RFC1;CEBPA;SMAD3;SMAD2;BRCA1;CDKN1A
CHEK2,12,41,0.0594059405940594,0.009044782704610633,0.05036115788944877,1.495621662335014E-6,-0.5970672367941688,8.008444105122987,E2F1;E2F3;PML;CHEK2;MSH2;TP53;RB1;BRCA1;PLK1;MDM2;MDM4;KPNA2
