Term	P-value	Genes
CXCR4PATHWAY	0.7679456319572322	CXCL12,PXN,PLCG1,GNB1,PTK2B,PIK3R1
AHSPPATHWAY	0.7817431316761938	ALAD,ALAS1,FECH
D4GDIPATHWAY	0.7817431316761938	CASP3,CYCS,APAF1
CK1PATHWAY	0.7845468063488087	PRKAR2A,PRKAR1B,PPP3CA,PRKACB
ERBB3PATHWAY	0.8098920361121132	UBE2D1
FOSBPATHWAY	0.8098920361121132	JUND
BOTULINPATHWAY	0.8098920361121132	VAMP2
METHIONINEPATHWAY	0.8098920361121132	MUT
CARDIACEGFPATHWAY	0.8159007597276413	FOS,EDNRB,PLCG1,MYC
TELPATHWAY	0.8159007597276413	IGF1R,BCL2,MYC,TERF1
CLASSICPATHWAY	0.8171102403557953	C4B,C1S,C2
IL5PATHWAY	0.8258801245359786	CCR3,CD4
AT1RPATHWAY	0.8317965911321625	MEF2C,MEF2A,ATF2,PTK2B,MAP3K1,CALM3,MAPK8,CALM2
INTEGRINPATHWAY	0.8371637810199032	TLN1,PPP1R12B,ITGB1,PXN,CSK,ITGA1,ACTN1,FYN,MAPK8
AKTPATHWAY	0.8434146740235442	NFKBIA,BAD,CHUK,PIK3R1
NGFPATHWAY	0.8434146740235442	FOS,PLCG1,MAPK8,PIK3R1
STEMPATHWAY	0.8474924701685561	CD8A,CSF1,CD4
IGF1RPATHWAY	0.8474924701685561	BAD,IGF1R,PIK3R1
NO1PATHWAY	0.8478612668077767	PRKAR2A,PRKACB,KDR,SLC7A1,PRKAR1B,CALM3,CALM2
FXRPATHWAY	0.8559381743363372	LDLR
GSPATHWAY	0.8559381743363372	GNB1
IL18PATHWAY	0.8559381743363372	IL18
NEUROTRANSMITTERSPATHWAY	0.8559381743363372	HDC
VITCBPATHWAY	0.859395981272738	P4HB,COL4A1
P35ALZHEIMERSPATHWAY	0.859395981272738	CSNK1A1,GSK3B
CDMACPATHWAY	0.8733956145941522	NFKBIA,FOS,MYC
MTA3PATHWAY	0.8733956145941522	ALDOA,TUBA8,HSPB1
GABAPATHWAY	0.8869169710756892	GABRA3,NSF
ASBCELLPATHWAY	0.8869169710756892	CD4,CD28
UREACYCLEPATHWAY	0.8908519814956739	ASL
TUBBYPATHWAY	0.8908519814956739	GNB1
PKCPATHWAY	0.8908519814956739	NFKBIA
PMLPATHWAY	0.8953315050517685	SP100,CREBBP,PML
EDG1PATHWAY	0.9017871807495477	PDGFA,ASAH1,PIK3R1,GNB1,PDGFRA
DCPATHWAY	0.9060136915585306	ITGAX,CD2,CD5,CD7
PTENPATHWAY	0.9137956215060435	PTEN,ITGB1,PIK3R1
MALATEXPATHWAY	0.9173198941640078	CS
EOSINOPHILSPATHWAY	0.9173198941640078	CCR3
CCR3PATHWAY	0.9213084911290337	PPP1R12B,GNB1,CCR3,CFL1
TRKAPATHWAY	0.9276108896791364	PLCG1,PIK3R1
TGFBPATHWAY	0.9292527049426773	CREBBP,TGFBR2,SKIL
COMPPATHWAY	0.9292527049426773	C4B,C1S,C2
ARAPPATHWAY	0.9616223840252055	KDELR2,COPA,CLTA
CYTOKINEPATHWAY	0.9616223840252055	IL16,IL18,IL15
FIBRINOLYSISPATHWAY	0.9728279927645204	F13A1
ACE2PATHWAY	0.9728279927645204	COL4A1
INFLAMPATHWAY	0.974594285894987	PDGFA,CSF1,IL15,CD4
EXTRINSICPATHWAY	0.9794365328966408	F10
CDK5PATHWAY	0.9794365328966408	EGR1
ERYTHPATHWAY	0.9882294129561999	IGF1
INTRINSICPATHWAY	0.9913786366420073	F10,COL4A1
